pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,line1.started,line2.started,line3.started,line4.started,fixation.stopped,probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,0,,,,,0.01202449994161725,,0.007599000004120171,0.01202449994161725,1.0096935000037774,1.0096935000037774,1.0096935000037774,1.0096935000037774,1.0242999999318272,2.007691500009969,2.007691500009969,3.9912758000427857,x,1,1.9724598999600857,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
150,v,0,1,1,1,,,,,4.007261999999173,,3.993715799995698,4.007261999999173,5.0065206999424845,5.0065206999424845,5.0065206999424845,5.0065206999424845,5.0065206999424845,6.006211600033566,6.006211600033566,6.657439599977806,v,1,0.6341477000387385,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
50,c,0,2,2,2,,,,,6.6727332000155,,6.659114100039005,6.6727332000155,7.672476000036113,7.672476000036113,7.672476000036113,7.672476000036113,7.672476000036113,8.672311599948443,8.672311599948443,9.273665399989113,c,1,0.586327200056985,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
-150,z,0,3,3,3,,,,,9.288591800024733,,9.276037100004032,9.288591800024733,10.288516800035723,10.288516800035723,10.288516800035723,10.288516800035723,10.288516800035723,11.288167999940924,11.288167999940924,11.656612999970093,z,1,0.36218359996564686,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
-50,x,1,0,4,0,,,,,11.671440799953416,,11.658413299941458,11.671440799953416,12.671147899935022,12.671147899935022,12.671147899935022,12.671147899935022,12.671147899935022,13.670914600021206,13.670914600021206,14.188947699964046,x,1,0.5080540999770164,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
150,v,1,1,5,1,,,,,14.204100199975073,,14.19104059995152,14.204100199975073,15.203885899973102,15.203885899973102,15.203885899973102,15.203885899973102,15.203885899973102,16.203700399957597,16.203700399957597,16.587742500007153,v,1,0.3706182000460103,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
50,c,1,2,6,2,,,,,16.603622299968265,,16.589131899992935,16.603622299968265,17.60321880003903,17.60321880003903,17.60321880003903,17.60321880003903,17.60321880003903,18.602851500036195,18.602851500036195,18.93754049995914,c,1,0.3301071999594569,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
-150,z,1,3,7,3,,,,,18.952762400032952,,18.93958050000947,18.952762400032952,19.95254600001499,19.95254600001499,19.95254600001499,19.95254600001499,19.95254600001499,20.952315200003795,20.952315200003795,21.21998029993847,z,1,0.25106199993751943,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
-50,x,2,0,8,0,,,,,21.23541550000664,,21.2211255999282,21.23541550000664,22.235321399988607,22.235321399988607,22.235321399988607,22.235321399988607,22.235321399988607,23.234918999951333,23.234918999951333,23.60285489994567,x,1,0.35466579999774694,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
150,v,2,1,9,1,,,,,23.618443300016224,,23.60410759993829,23.618443300016224,24.61802329996135,24.61802329996135,24.61802329996135,24.61802329996135,24.61802329996135,25.617628399981186,25.617628399981186,25.91986000002362,v,1,0.2982956999912858,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
50,c,2,2,10,2,,,,,25.93429380003363,,25.922735100029968,25.93429380003363,26.9339468999533,26.9339468999533,26.9339468999533,26.9339468999533,26.9339468999533,27.933648700010963,27.933648700010963,28.351546699996106,c,1,0.4036998999072239,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
-150,z,2,3,11,3,,,,,28.366869100020267,,28.35307389998343,28.366869100020267,29.367161800037138,29.367161800037138,29.367161800037138,29.367161800037138,29.367161800037138,30.36642800003756,30.36642800003756,30.66674769995734,z,1,0.2883371999487281,None,JC,001,2023-10-15_14h53.28.531,tutorial4,2023.2.2,59.82775590252981,2023-10-15 14h53.41.261315 +0530,
